product,category,version_normalized,path,title,source_path,extension,size_bytes,thumbnail
DemoForge,docs,v1,docs/refait-moi-une-synthese-profonde-en-mode-ameliorat-1.md,refait moi une synthèse profonde en mode ameliorat (1),subrepos/DemoForge-Archive/DemoForge/refait moi une synthèse profonde en mode ameliorat (1).md,.md,311026,
DemoForge,docs,—,docs/resumer-la-page-actuelle.md,Résumer la page actuelle,subrepos/DemoForge-Archive/DemoForge/Résumer la page actuelle.md,.md,5637,
DemoForge,docs,v2,docs/v2_brief.md,V2_BRIEF,subrepos/DemoForge-Archive/DemoForge/V2_BRIEF.md,.md,1804,
DemoForge,interfaces,v1.0,interfaces/v1.0-demoforge-2030-v1-1.html,demoforge-2030-V1 (1),subrepos/DemoForge-Archive/DemoForge/demoforge-2030-V1 (1).html,.html,44865,assets/thumbs/interfaces--v1.0-demoforge-2030-v1-1.html.png
DemoForge,interfaces,v1.0,interfaces/v1.0-demoforge-2030-v1.html,demoforge-2030-V1,subrepos/DemoForge-Archive/DemoForge/demoforge-2030-V1.html,.html,44865,assets/thumbs/interfaces--v1.0-demoforge-2030-v1.html.png
CNC,interfaces,v1.0,interfaces/v1.0-index-cnc-v1.html,index-CNC-V1,subrepos/DemoForge-Archive/DemoForge/index-CNC-V1.html,.html,101183,assets/thumbs/interfaces--v1.0-index-cnc-v1.html.png
DemoForge,interfaces,v1.1,interfaces/v1.1-demomaker-v1.1.html,demomaker-V1.1,subrepos/DemoForge-Archive/DemoForge/demomaker-V1.1.html,.html,46185,assets/thumbs/interfaces--v1.1-demomaker-v1.1.html.png
CNC,interfaces,v1.1,interfaces/v1.1-index-cnc-v1.1.html,index-CNC-V1.1,subrepos/DemoForge-Archive/DemoForge/index-CNC-V1.1.html,.html,101217,assets/thumbs/interfaces--v1.1-index-cnc-v1.1.html.png
DemoForge,interfaces,v1.1,interfaces/v1.1-index-demoforge-v1.1.html,index-demoforge-V1.1,subrepos/DemoForge-Archive/DemoForge/index-demoforge-V1.1.html,.html,78655,assets/thumbs/interfaces--v1.1-index-demoforge-v1.1.html.png
CNC,interfaces,v1.2,interfaces/v1.2-index-cnc-v1.2.html,index-CNC-V1.2,subrepos/DemoForge-Archive/DemoForge/index-CNC-V1.2.html,.html,102070,assets/thumbs/interfaces--v1.2-index-cnc-v1.2.html.png
CNC,interfaces,v1.3,interfaces/v1.3-index-cnc-v1.3.html,index-CNC-V1.3,subrepos/DemoForge-Archive/DemoForge/index-CNC-V1.3.html,.html,100837,assets/thumbs/interfaces--v1.3-index-cnc-v1.3.html.png
CNC,interfaces,v1.4,interfaces/v1.4-index-cnc-v1.4.html,index-CNC-V1.4,subrepos/DemoForge-Archive/DemoForge/index-CNC-V1.4.html,.html,100814,assets/thumbs/interfaces--v1.4-index-cnc-v1.4.html.png
CNC,interfaces,v1.5,interfaces/v1.5-index-cnc-v1.5.html,index-CNC-V1.5,subrepos/DemoForge-Archive/DemoForge/index-CNC-V1.5.html,.html,102402,assets/thumbs/interfaces--v1.5-index-cnc-v1.5.html.png
CNC,interfaces,v1.6,interfaces/v1.6-index-cnc-v1.6.html,index-CNC-V1.6,subrepos/DemoForge-Archive/DemoForge/index-CNC-V1.6.html,.html,102921,assets/thumbs/interfaces--v1.6-index-cnc-v1.6.html.png
DemoForge,interfaces,v2.0,interfaces/v2.0-demomaker-v2.0-1.html,demomaker-V2.0 (1),subrepos/DemoForge-Archive/DemoForge/demomaker-V2.0 (1).html,.html,54750,assets/thumbs/interfaces--v2.0-demomaker-v2.0-1.html.png
DemoForge,interfaces,v2.0,interfaces/v2.0-demomaker-v2.0.html,demomaker-V2.0,subrepos/DemoForge-Archive/DemoForge/demomaker-V2.0.html,.html,54750,assets/thumbs/interfaces--v2.0-demomaker-v2.0.html.png
DemoForge,interfaces,v6.0,interfaces/v6.0-demoforge-v6-editor-emergent.html,DemoForge V6 — Editor-Emergent,subrepos/DemoForge-Archive/DemoForge/DemoForge V6 — Editor-Emergent.html,.html,132550,assets/thumbs/interfaces--v6.0-demoforge-v6-editor-emergent.html.png
DemoForge,interfaces,v7.0,interfaces/v7.0-demoforge_7.60_edu_0.6.html,demoforge_7.60_edu_0.6,subrepos/DemoForge-Archive/DemoForge/demoforge_7.60_edu_0.6.html,.html,162819,assets/thumbs/interfaces--v7.0-demoforge_7.60_edu_0.6.html.png
DemoForge,interfaces,v7.0,interfaces/v7.0-demoforge_7.60_edu_0.8.html,demoforge_7.60_edu_0.8,subrepos/DemoForge-Archive/DemoForge/demoforge_7.60_edu_0.8.html,.html,176175,assets/thumbs/interfaces--v7.0-demoforge_7.60_edu_0.8.html.png
DemoForge,interfaces,v7.80,interfaces/v7.80-demoforge_7.80.html,demoforge_7.80,subrepos/DemoForge-Archive/DemoForge/demoforge_7.80.html,.html,184637,assets/thumbs/interfaces--v7.80-demoforge_7.80.html.png
DemoForge,interfaces,v8.0,interfaces/v8.0-demoforge_8.00_stable.html,demoforge_8.00_stable,subrepos/DemoForge-Archive/DemoForge/demoforge_8.00_stable.html,.html,137638,assets/thumbs/interfaces--v8.0-demoforge_8.00_stable.html.png
DemoForge,interfaces,v8.20,interfaces/v8.20-demoforge_8.20.html,demoforge_8.20,subrepos/DemoForge-Archive/DemoForge/demoforge_8.20.html,.html,140992,assets/thumbs/interfaces--v8.20-demoforge_8.20.html.png
DemoForge,interfaces,v8.40,interfaces/v8.40-demoforge_8.40.html,demoforge_8.40,subrepos/DemoForge-Archive/DemoForge/demoforge_8.40.html,.html,143127,assets/thumbs/interfaces--v8.40-demoforge_8.40.html.png
DemoForge,interfaces,v8.60,interfaces/v8.60-demoforge_8.60.html,demoforge_8.60,subrepos/DemoForge-Archive/DemoForge/demoforge_8.60.html,.html,149791,assets/thumbs/interfaces--v8.60-demoforge_8.60.html.png
Autres,interfaces,v15.0,interfaces/v15.0-v15-892b182b.html,V15,V15.html,.html,354904,assets/thumbs/interfaces--v15.0-v15-892b182b.html.png
DemoForge,interfaces,v15.0,interfaces/v15.0-v15.html,V15,subrepos/DemoForge-Archive/DemoForge/V15.html,.html,354904,assets/thumbs/interfaces--v15.0-v15.html.png
Motion,interfaces,v1,interfaces/1-demoforge_motion_studio.html,1-demoforge_motion_studio,subrepos/DemoForge-Archive/DemoForge/1-demoforge_motion_studio.html,.html,29706,assets/thumbs/interfaces--1-demoforge_motion_studio.html.png
CNC,interfaces,—,interfaces/cnc-coding-is-not-a-crime-clean-base.html,CNC Coding Is Not A Crime -Clean - Base,subrepos/DemoForge-Archive/DemoForge/CNC Coding Is Not A Crime -Clean - Base.html,.html,83708,assets/thumbs/interfaces--cnc-coding-is-not-a-crime-clean-base.html.png
Motion,interfaces,—,interfaces/demoforge-motion-studio-single-dance-steps.html,demoforge-motion-studio-single-dance-steps,subrepos/DemoForge-Archive/DemoForge/demoforge-motion-studio-single-dance-steps.html,.html,17336,assets/thumbs/interfaces--demoforge-motion-studio-single-dance-steps.html.png
DemoForge,interfaces,—,interfaces/demoforge_clean_direct.html,demoforge_clean_direct,subrepos/DemoForge-Archive/DemoForge/demoforge_clean_direct.html,.html,7972,assets/thumbs/interfaces--demoforge_clean_direct.html.png
DemoForge,interfaces,—,interfaces/demoforge_doc.html,DEMOFORGE_DOC,subrepos/DemoForge-Archive/DemoForge/DEMOFORGE_DOC.html,.html,12237,assets/thumbs/interfaces--demoforge_doc.html.png
DemoForge,interfaces,—,interfaces/demoforge_editor_layers_music_export_fixed.html,demoforge_editor_layers_music_export_fixed,subrepos/DemoForge-Archive/DemoForge/demoforge_editor_layers_music_export_fixed.html,.html,75170,assets/thumbs/interfaces--demoforge_editor_layers_music_export_fixed.html.png
DemoForge,interfaces,—,interfaces/demoforge_editor_music_export.html,demoforge_editor_music_export,subrepos/DemoForge-Archive/DemoForge/demoforge_editor_music_export.html,.html,71716,assets/thumbs/interfaces--demoforge_editor_music_export.html.png
Motion,interfaces,—,interfaces/demoforge_edu_audio_timeline.html,demoforge_edu_audio_timeline,subrepos/DemoForge-Archive/DemoForge/demoforge_edu_audio_timeline.html,.html,143014,assets/thumbs/interfaces--demoforge_edu_audio_timeline.html.png
DemoForge,interfaces,—,interfaces/demoforge_edu_base.html,demoforge_edu_base,subrepos/DemoForge-Archive/DemoForge/demoforge_edu_base.html,.html,135804,assets/thumbs/interfaces--demoforge_edu_base.html.png
DemoForge,interfaces,v0.2,interfaces/demoforge_edu_v0.2.html,demoforge_edu_v0.2,subrepos/DemoForge-Archive/DemoForge/demoforge_edu_v0.2.html,.html,31828,assets/thumbs/interfaces--demoforge_edu_v0.2.html.png
DemoForge,interfaces,v0.4,interfaces/demoforge_edu_v0.4.html,demoforge_edu_v0.4,subrepos/DemoForge-Archive/DemoForge/demoforge_edu_v0.4.html,.html,144694,assets/thumbs/interfaces--demoforge_edu_v0.4.html.png
Motion,interfaces,v1,interfaces/demoforge_export_music-1.html,demoforge_export_music (1),subrepos/DemoForge-Archive/DemoForge/demoforge_export_music (1).html,.html,54166,assets/thumbs/interfaces--demoforge_export_music-1.html.png
Motion,interfaces,v3,interfaces/demoforge_export_music-3.html,demoforge_export_music (3),subrepos/DemoForge-Archive/DemoForge/#MOTION/demoforge_export_music (3).html,.html,50694,assets/thumbs/interfaces--demoforge_export_music-3.html.png
Motion,interfaces,—,interfaces/demoforge_export_music.html,demoforge_export_music,subrepos/DemoForge-Archive/DemoForge/demoforge_export_music.html,.html,54684,assets/thumbs/interfaces--demoforge_export_music.html.png
DemoForge,interfaces,—,interfaces/demoforge_full_layer_editor.html,demoforge_full_layer_editor,subrepos/DemoForge-Archive/DemoForge/demoforge_full_layer_editor.html,.html,85797,assets/thumbs/interfaces--demoforge_full_layer_editor.html.png
DemoForge,interfaces,v2,interfaces/demoforge_full_layer_editor_v2.html,demoforge_full_layer_editor_v2,subrepos/DemoForge-Archive/DemoForge/demoforge_full_layer_editor_v2.html,.html,89134,assets/thumbs/interfaces--demoforge_full_layer_editor_v2.html.png
