source_path,path,name,title,display_title,category,version,extension,size_bytes,thumbnail
subrepos/DemoForge-Archive/DemoForge/PROMPT_MASTER_DEMOFORGE_V1.md,docs/prompt_master_demoforge_v1.md,PROMPT_MASTER_DEMOFORGE_V1.md,PROMPT_MASTER_DEMOFORGE_V1,,docs,,.md,6777,
subrepos/DemoForge-Archive/DemoForge-Motion/README.md,docs/readme-49096ee2.md,README.md,README,,docs,,.md,2185,
subrepos/DemoForge-Archive/DemoForge/README.md,docs/readme-9e4b8aad.md,README.md,README,,docs,,.md,3558,
subrepos/DemoForge-Archive/README.md,docs/readme-a75f4b5a.md,README.md,README,,docs,,.md,273,
RELEASES_CODEX_PACKAGE/README.md,docs/readme-f57afb0d.md,README.md,README,,docs,,.md,152,
README.md,docs/readme.md,README.md,README,,docs,,.md,96,
subrepos/DemoForge-Archive/DemoForge/demoforge_export_1776355940035/README.txt,docs/readme.txt,README.txt,README,,docs,,.txt,600,
subrepos/DemoForge-Archive/DemoForge/refait moi une synthèse profonde en mode ameliorat (1).md,docs/refait-moi-une-synthese-profonde-en-mode-ameliorat-1.md,refait moi une synthèse profonde en mode ameliorat (1).md,refait moi une synthèse profonde en mode ameliorat (1),,docs,,.md,311026,
subrepos/DemoForge-Archive/DemoForge/Résumer la page actuelle.md,docs/resumer-la-page-actuelle.md,Résumer la page actuelle.md,Résumer la page actuelle,,docs,,.md,5637,
subrepos/DemoForge-Archive/DemoForge/V2_BRIEF.md,docs/v2_brief.md,V2_BRIEF.md,V2_BRIEF,,docs,,.md,1804,
subrepos/DemoForge-Archive/DemoForge/demoforge-2030-V1 (1).html,interfaces/v1.0-demoforge-2030-v1-1.html,demoforge-2030-V1 (1).html,demoforge-2030-V1 (1),demoforge-2030-V1 (1),interfaces,v1.0,.html,44865,assets/thumbs/interfaces--v1.0-demoforge-2030-v1-1.html.png
subrepos/DemoForge-Archive/DemoForge/demoforge-2030-V1.html,interfaces/v1.0-demoforge-2030-v1.html,demoforge-2030-V1.html,demoforge-2030-V1,demoforge-2030-V1,interfaces,v1.0,.html,44865,assets/thumbs/interfaces--v1.0-demoforge-2030-v1.html.png
subrepos/DemoForge-Archive/DemoForge/index-CNC-V1.html,interfaces/v1.0-index-cnc-v1.html,index-CNC-V1.html,index-CNC-V1,index-CNC-V1,interfaces,v1.0,.html,101183,assets/thumbs/interfaces--v1.0-index-cnc-v1.html.png
subrepos/DemoForge-Archive/DemoForge/demomaker-V1.1.html,interfaces/v1.1-demomaker-v1.1.html,demomaker-V1.1.html,demomaker-V1.1,demomaker-V1.1,interfaces,v1.1,.html,46185,assets/thumbs/interfaces--v1.1-demomaker-v1.1.html.png
subrepos/DemoForge-Archive/DemoForge/index-CNC-V1.1.html,interfaces/v1.1-index-cnc-v1.1.html,index-CNC-V1.1.html,index-CNC-V1.1,index-CNC-V1.1,interfaces,v1.1,.html,101217,assets/thumbs/interfaces--v1.1-index-cnc-v1.1.html.png
subrepos/DemoForge-Archive/DemoForge/index-demoforge-V1.1.html,interfaces/v1.1-index-demoforge-v1.1.html,index-demoforge-V1.1.html,index-demoforge-V1.1,index-demoforge-V1.1,interfaces,v1.1,.html,78655,assets/thumbs/interfaces--v1.1-index-demoforge-v1.1.html.png
subrepos/DemoForge-Archive/DemoForge/index-CNC-V1.2.html,interfaces/v1.2-index-cnc-v1.2.html,index-CNC-V1.2.html,index-CNC-V1.2,index-CNC-V1.2,interfaces,v1.2,.html,102070,assets/thumbs/interfaces--v1.2-index-cnc-v1.2.html.png
subrepos/DemoForge-Archive/DemoForge/index-CNC-V1.3.html,interfaces/v1.3-index-cnc-v1.3.html,index-CNC-V1.3.html,index-CNC-V1.3,index-CNC-V1.3,interfaces,v1.3,.html,100837,assets/thumbs/interfaces--v1.3-index-cnc-v1.3.html.png
subrepos/DemoForge-Archive/DemoForge/index-CNC-V1.4.html,interfaces/v1.4-index-cnc-v1.4.html,index-CNC-V1.4.html,index-CNC-V1.4,index-CNC-V1.4,interfaces,v1.4,.html,100814,assets/thumbs/interfaces--v1.4-index-cnc-v1.4.html.png
subrepos/DemoForge-Archive/DemoForge/index-CNC-V1.5.html,interfaces/v1.5-index-cnc-v1.5.html,index-CNC-V1.5.html,index-CNC-V1.5,index-CNC-V1.5,interfaces,v1.5,.html,102402,assets/thumbs/interfaces--v1.5-index-cnc-v1.5.html.png
subrepos/DemoForge-Archive/DemoForge/index-CNC-V1.6.html,interfaces/v1.6-index-cnc-v1.6.html,index-CNC-V1.6.html,index-CNC-V1.6,index-CNC-V1.6,interfaces,v1.6,.html,102921,assets/thumbs/interfaces--v1.6-index-cnc-v1.6.html.png
subrepos/DemoForge-Archive/DemoForge/demomaker-V2.0 (1).html,interfaces/v2.0-demomaker-v2.0-1.html,demomaker-V2.0 (1).html,demomaker-V2.0 (1),demomaker-V2.0 (1),interfaces,v2.0,.html,54750,assets/thumbs/interfaces--v2.0-demomaker-v2.0-1.html.png
subrepos/DemoForge-Archive/DemoForge/demomaker-V2.0.html,interfaces/v2.0-demomaker-v2.0.html,demomaker-V2.0.html,demomaker-V2.0,demomaker-V2.0,interfaces,v2.0,.html,54750,assets/thumbs/interfaces--v2.0-demomaker-v2.0.html.png
subrepos/DemoForge-Archive/DemoForge/DemoForge V6 — Editor-Emergent.html,interfaces/v6.0-demoforge-v6-editor-emergent.html,DemoForge V6 — Editor-Emergent.html,DemoForge V6 — Editor-Emergent,DemoForge V6 — Editor-Emergent,interfaces,v6.0,.html,132550,assets/thumbs/interfaces--v6.0-demoforge-v6-editor-emergent.html.png
subrepos/DemoForge-Archive/DemoForge/demoforge_7.60_edu_0.6.html,interfaces/v7.0-demoforge_7.60_edu_0.6.html,demoforge_7.60_edu_0.6.html,demoforge_7.60_edu_0.6,demoforge_7.60_edu_0.6,interfaces,v7.0,.html,162819,assets/thumbs/interfaces--v7.0-demoforge_7.60_edu_0.6.html.png
subrepos/DemoForge-Archive/DemoForge/demoforge_7.60_edu_0.8.html,interfaces/v7.0-demoforge_7.60_edu_0.8.html,demoforge_7.60_edu_0.8.html,demoforge_7.60_edu_0.8,demoforge_7.60_edu_0.8,interfaces,v7.0,.html,176175,assets/thumbs/interfaces--v7.0-demoforge_7.60_edu_0.8.html.png
subrepos/DemoForge-Archive/DemoForge/demoforge_7.80.html,interfaces/v7.80-demoforge_7.80.html,demoforge_7.80.html,demoforge_7.80,demoforge_7.80,interfaces,v7.80,.html,184637,assets/thumbs/interfaces--v7.80-demoforge_7.80.html.png
subrepos/DemoForge-Archive/DemoForge/demoforge_8.00_stable.html,interfaces/v8.0-demoforge_8.00_stable.html,demoforge_8.00_stable.html,demoforge_8.00_stable,demoforge_8.00_stable,interfaces,v8.0,.html,137638,assets/thumbs/interfaces--v8.0-demoforge_8.00_stable.html.png
subrepos/DemoForge-Archive/DemoForge/demoforge_8.20.html,interfaces/v8.20-demoforge_8.20.html,demoforge_8.20.html,demoforge_8.20,demoforge_8.20,interfaces,v8.20,.html,140992,assets/thumbs/interfaces--v8.20-demoforge_8.20.html.png
subrepos/DemoForge-Archive/DemoForge/demoforge_8.40.html,interfaces/v8.40-demoforge_8.40.html,demoforge_8.40.html,demoforge_8.40,demoforge_8.40,interfaces,v8.40,.html,143127,assets/thumbs/interfaces--v8.40-demoforge_8.40.html.png
subrepos/DemoForge-Archive/DemoForge/demoforge_8.60.html,interfaces/v8.60-demoforge_8.60.html,demoforge_8.60.html,demoforge_8.60,demoforge_8.60,interfaces,v8.60,.html,149791,assets/thumbs/interfaces--v8.60-demoforge_8.60.html.png
V15.html,interfaces/v15.0-v15-892b182b.html,V15.html,V15,V15,interfaces,v15.0,.html,354904,assets/thumbs/interfaces--v15.0-v15-892b182b.html.png
subrepos/DemoForge-Archive/DemoForge/V15.html,interfaces/v15.0-v15.html,V15.html,V15,V15,interfaces,v15.0,.html,354904,assets/thumbs/interfaces--v15.0-v15.html.png
